Device_Number,X,Y,Remaining Energy(mJ),Device_Id
1,36.000000,4.320000,1296.000000,1
2,13.220000,0.000000,1259.671451,2
3,23.120000,36.000000,1296.000000,3
4,17.180000,8.270000,1296.000000,4
5,48.860000,32.040000,1296.000000,5
6,14.210000,32.040000,869.846954,6
7,12.850000,35.880000,1036.800000,7
8,9.260000,17.180000,1036.800000,8
9,45.900000,17.180000,1036.800000,9
10,30.050000,16.190000,1036.800000,10
11,0.000000,30.050000,1296.000000,11
12,20.860000,35.330000,1296.000000,12
13,45.140000,25.370000,1296.000000,13
14,44.900000,42.930000,1296.000000,14
15,26.090000,18.180000,1296.000000,15
16,19.160000,18.180000,777.600000,16
17,26.090000,16.190000,777.600000,17
18,14.210000,41.930000,777.600000,18
19,6.290000,44.900000,1393.335374,19
20,28.250000,6.080000,777.600000,20
21,43.910000,6.290000,777.600000,21
22,24.110000,20.150000,777.600000,22
23,4.610000,22.280000,777.600000,23
24,17.180000,23.120000,777.600000,24
25,18.270000,4.040000,777.600000,25
26,1.350000,5.300000,1296.000000,26
27,27.080000,0.000000,1296.000000,27
28,44.900000,33.020000,1296.000000,28
29,29.370000,39.930000,1296.000000,29
30,34.010000,35.000000,1296.000000,30
31,18.180000,40.940000,777.600000,31
32,4.320000,27.080000,777.600000,32
33,36.980000,46.880000,729.476753,33
34,41.930000,0.000000,777.600000,34
35,17.390000,31.220000,1393.247937,35
36,24.320000,10.380000,1296.000000,36
37,21.140000,13.220000,1296.000000,37
38,41.870000,20.300000,1296.000000,38
39,27.080000,13.220000,1296.000000,39
40,31.990000,7.900000,1296.000000,40
41,30.010000,11.980000,1036.800000,41
42,10.250000,7.270000,810.439276,42
43,28.140000,29.390000,1036.800000,43
44,32.040000,1.350000,1036.800000,44
45,7.270000,20.150000,869.135754,45
46,43.910000,37.970000,1296.000000,46
47,4.610000,1.690000,1296.000000,47
48,34.010000,37.970000,1296.000000,48
49,23.120000,14.210000,1188.398440,49
50,13.750000,11.990000,1393.214950,50
51,48.860000,42.930000,939.979432,51
52,8.990000,30.280000,1166.400000,52
53,12.230000,4.320000,1166.400000,53
54,8.270000,10.250000,1166.400000,54
55,33.020000,31.040000,1166.400000,55
56,46.340000,36.510000,1296.000000,56
57,24.110000,42.930000,1296.000000,57
58,26.090000,34.010000,1296.000000,58
59,34.010000,42.930000,1296.000000,59
60,0.000000,6.560000,1392.994457,60
61,17.000000,43.410000,1036.800000,61
62,39.050000,8.260000,988.628239,62
63,12.380000,18.660000,1036.800000,63
64,35.230000,31.860000,1036.800000,64
65,39.950000,29.070000,1036.800000,65
66,37.970000,11.250000,1128.930046,66
67,16.190000,15.200000,1247.588480,67
68,48.860000,46.880000,1393.145907,68
69,12.230000,23.120000,1296.000000,69
70,30.050000,2.330000,1296.000000,70
71,32.040000,22.140000,777.600000,71
72,14.210000,39.950000,777.600000,72
73,39.950000,29.070000,777.600000,73
74,46.880000,4.320000,1393.045106,74
75,1.350000,9.260000,669.706979,75
76,36.000000,24.110000,1296.000000,76
77,21.140000,22.140000,1296.000000,77
78,36.980000,39.950000,1200.324059,78
79,29.070000,24.110000,1296.000000,79
80,21.140000,3.320000,1296.000000,80
81,31.040000,35.000000,777.600000,81
82,37.970000,30.050000,777.600000,82
83,22.060000,33.410000,777.600000,83
84,43.910000,19.160000,777.600000,84
85,36.000000,1.350000,777.600000,85
86,43.910000,3.320000,1188.321536,86
87,32.040000,43.910000,1296.000000,87
88,7.270000,42.930000,1129.319980,88
89,10.250000,12.230000,1069.799557,89
90,17.180000,36.000000,1069.129635,90
91,3.320000,14.210000,777.600000,91
92,15.200000,10.250000,777.600000,92
93,36.000000,19.160000,777.600000,93
94,38.810000,1.440000,777.600000,94
95,42.930000,17.180000,777.600000,95
96,19.160000,38.970000,1296.000000,96
97,40.940000,48.860000,1296.000000,97
98,37.970000,17.180000,1296.000000,98
99,40.940000,42.930000,1296.000000,99
100,29.840000,4.640000,1296.000000,100
